gu,D_name,pm10,pm25,color,lat,lon
중구,서울명소16,74,48,"rgb(116,217,0)",37.58686111,126.9967
중구,홍제동신한은행앞,69,42,"rgb(116,217,0)",37.587612,126.945106
중구,서울_C2예비29,227,147,"rgb(255,0,0)",37.578378,127.015204
중구,한강대로,47,34,"rgb(116,217,0)",37.5491,126.9704
중구,서울_추가176,74,45,"rgb(116,217,0)",37.581192,126.950708
중구,서울추가73,87,70,"rgb(255,189,0)",37.533286,126.96409
중구,광화문사옥15층,29,18,"rgb(0,201,250)",37.571726,126.977917
중구,서울명소21,140,99,"rgb(255,90,0)",37.564683,126.937734
중구,애완용품점 앞,68,36,"rgb(116,217,0)",37.547015,126.944465
중구,서울348,67,44,"rgb(116,217,0)",37.564783,126.978392
중구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
중구,서울_C2예비27,87,56,"rgb(255,189,0)",37.570192,127.015998
중구,딥비전스,42,26,"rgb(116,217,0)",37.5741,126.9419
중구,서울349,77,50,"rgb(116,217,0)",37.565818,126.972629
중구,서울추가5,100,55,"rgb(255,189,0)",37.5848,127.0184
중구,광화문사옥4층,63,40,"rgb(116,217,0)",37.571725,126.977862
중구,서울명소4,57,37,"rgb(116,217,0)",37.58116944,126.9853028
중구,제일빌딩앞,75,40,"rgb(116,217,0)",37.54566,126.95312
중구,서울164,87,56,"rgb(255,189,0)",37.576002,127.002575
중구,기존주소 건너편 앞 ,38,20,"rgb(116,217,0)",37.551128,126.955277
중구,관측망9,315,223,"rgb(255,0,0)",37.55558,126.934927
중구,서대문구,40,25,"rgb(116,217,0)",37.5767,126.9378
중구,서울1041_C2,18,14,"rgb(0,201,250)",37.54253889,127.0024944
중구,중구,39,26,"rgb(116,217,0)",37.5643,126.9747
중구,서울349,77,50,"rgb(116,217,0)",37.565818,126.972629
중구,서울93,89,57,"rgb(255,189,0)",37.568836,126.976487
중구,광화문사옥9층,42,27,"rgb(116,217,0)",37.571722,126.977794
중구,서울명소5,85,45,"rgb(255,189,0)",37.550068,126.942143
중구,애완용품점 앞,68,36,"rgb(116,217,0)",37.547015,126.944465
중구,서울추가54,89,48,"rgb(255,189,0)",37.55805,127.034192
중구,청계천로,39,30,"rgb(116,217,0)",37.5686,126.9981
중구,서울77,97,63,"rgb(255,189,0)",37.575793,126.971161
중구,두산_실외기,58,38,"rgb(116,217,0)",37.5951,126.9901
중구,도로23B,231,187,"rgb(255,0,0)",37.539601,126.989386
중구,서울186,89,72,"rgb(255,189,0)",37.563878,127.006853
중구,동의보감 건물 앞,57,46,"rgb(116,217,0)",37.578094,127.036627
중구,서울추가155,34,27,"rgb(116,217,0)",37.55161389,127.0025583
