name,lat,lon,val,clr
풍납1동2,37.5360,127.1222,65,"rgb(116,217,0)"
명일제1동1,37.5481,127.1436,41,"rgb(116,217,0)"
석촌동3,37.5068,127.1054,32,"rgb(116,217,0)"
장위제3동1,37.6126,127.0599,41,"rgb(116,217,0)"
서초4동1,37.5009,127.0251,34,"rgb(116,217,0)"
서초2동1,37.4880,127.0274,42,"rgb(116,217,0)"
사당제2동1,37.4865,126.9849,36,"rgb(116,217,0)"
서초2동2,37.485908,127.032777,80,"rgb(255,189,0)"
서초3동1,37.4874,127.0114,52,"rgb(116,217,0)"
방배1동1,37.4802,127.0000,-999,"rgb(0,201,250)"
내곡동5,37.4549,127.0644,44,"rgb(116,217,0)"
반포3동1,37.5087,127.0015,30,"rgb(116,217,0)"
서초3동2,37.4832,127.0106,60,"rgb(116,217,0)"
서초2동3,37.4845,127.0281,-999,"rgb(0,201,250)"
양재2동1,37.4599,127.0228,-999,"rgb(0,201,250)"
서초4동2,37.5036,127.0231,26,"rgb(0,201,250)"
반포3동2,37.5121,127.0102,25,"rgb(0,201,250)"
반포4동1,37.4955,126.9976,-999,"rgb(0,201,250)"
서초3동3,37.48522222,127.0056944,43,"rgb(116,217,0)"
방배4동1,37.4860,126.9980,27,"rgb(0,201,250)"
서초3동4,37.4859,127.0129,49,"rgb(116,217,0)"
잠원동1,37.5123,127.0203,36,"rgb(116,217,0)"
서초1동1,37.4919,127.0139,39,"rgb(116,217,0)"
서초3동5,37.4859,127.0143,43,"rgb(116,217,0)"
양재2동2,37.4712,127.0292,1,"rgb(0,201,250)"
삼성1동2,37.5127,127.0588,1,"rgb(0,201,250)"
삼성1동3,37.5127,127.0588,252,"rgb(255,0,0)"
풍납2동2,37.5272,127.107809,95,"rgb(255,189,0)"
방배2동1,37.4789,126.9820,182,"rgb(255,90,0)"
암사제1동1,37.5460,127.1338,91,"rgb(255,189,0)"
방배2동2,37.476133,126.987498,-999,"rgb(0,201,250)"
상일동1,37.5466,127.1722,100,"rgb(255,189,0)"
사당제2동2,37.4849,126.9824,-999,"rgb(0,201,250)"
고덕제1동1,37.5557,127.1580,98,"rgb(255,189,0)"
가락2동1,37.4965,127.1318,-999,"rgb(0,201,250)"
잠실2동2,37.5109,127.0846,-999,"rgb(0,201,250)"
잠실3동1,37.5030,127.0936,-999,"rgb(0,201,250)"
반포본동1,37.5018,126.9892,-999,"rgb(0,201,250)"
천호제2동2,37.5408,127.1240,100,"rgb(255,189,0)"
잠실6동2,37.5146,127.0998,104,"rgb(255,189,0)"
방배4동2,37.4874,126.9932,198,"rgb(255,90,0)"
반포2동1,37.5039,126.9969,146,"rgb(255,90,0)"
잠실4동1,37.5132,127.1102,93,"rgb(255,189,0)"
오금동1,37.502503,127.127989,-999,"rgb(0,201,250)"
반포본동2,37.4942,126.9830,-999,"rgb(0,201,250)"
잠실7동3,37.5065,127.0795,89,"rgb(255,189,0)"
잠실7동4,37.5114,127.0726,64,"rgb(116,217,0)"
대치4동2,37.4985,127.0597,104,"rgb(255,189,0)"
대치4동3,37.5005,127.0515,104,"rgb(255,189,0)"
중계2.3동1,37.6447,127.0657,-999,"rgb(0,201,250)"
창제4동3,37.652152,127.05099,-999,"rgb(0,201,250)"
대치4동4,37.4936,127.0612,104,"rgb(255,189,0)"
상계6.7동1,37.6533,127.0695,69,"rgb(116,217,0)"
대치2동1,37.4977,127.0754,58,"rgb(116,217,0)"
상계9동2,37.6643,127.0666,38,"rgb(116,217,0)"
대치2동2,37.4987,127.0681,138,"rgb(255,90,0)"
창제4동4,37.6505,127.0572,79,"rgb(116,217,0)"
영등포본동1,37.5149,126.9180,81,"rgb(255,189,0)"
대림제3동1,37.49452,126.899779,70,"rgb(116,217,0)"
가양제2동1,37.5638,126.8498,100,"rgb(255,189,0)"
발산제1동1,37.5498,126.8361,89,"rgb(255,189,0)"
신길제4동1,37.505708,126.911838,115,"rgb(255,189,0)"
가양제1동1,37.5591,126.8382,-999,"rgb(0,201,250)"
신길제6동1,37.4976,126.9151,63,"rgb(116,217,0)"
대림제3동2,37.500537,126.898098,121,"rgb(255,90,0)"
가양제2동2,37.5668,126.8515,103,"rgb(255,189,0)"
등촌제3동1,37.5594,126.8544,100,"rgb(255,189,0)"
영등포동1,37.5184,126.9055,121,"rgb(255,90,0)"
신길제7동1,37.5045,126.9207028,-999,"rgb(0,201,250)"
방화제2동1,37.5623,126.8163,100,"rgb(255,189,0)"
